,model,corr
0,ACCESS-CM2,0.863649840798748
1,ACCESS-ESM1-5,0.9286393625437348
2,BCC-CSM2-MR,0.7665373313474838
3,CanESM5,0.9172698335329236
4,CESM2-WACCM,0.8852288135029699
5,CESM2,0.8423439551504568
6,CMCC-CM2-SR5,0.9222176010472544
7,CMCC-ESM2,0.779064271975272
8,CNRM-CM6-1,0.9162317327859375
9,CNRM-ESM2-1,0.891004013012534
10,EC-Earth3-Veg-LR,0.9570253521914933
11,EC-Earth3,0.9599803875284918
12,FGOALS-g3,0.897345327048116
13,GFDL-CM4,0.7866954803513521
14,GFDL-CM4_gr2,0.7901085728180359
15,GFDL-ESM4,0.9276829316071273
16,GISS-E2-1-G,0.9513037141506395
17,HadGEM3-GC31-LL,0.8979496199886746
18,IITM-ESM,0.9310336900999406
19,INM-CM4-8,0.8693752600899904
20,INM-CM5-0,0.9477451391558874
21,IPSL-CM6A-LR,0.889400399397878
22,KACE-1-0-G,0.6880598551491038
23,KIOST-ESM,0.6940786674394815
24,MIROC-ES2L,0.7863957044175746
25,MIROC6,0.9550357682024347
26,MPI-ESM1-2-HR,0.9554793507469723
27,MPI-ESM1-2-LR,0.7897555719490157
28,MRI-ESM2-0,0.7730273837936412
29,NESM3,0.8371715374669229
30,NorESM2-LM,0.6483088554765803
31,NorESM2-MM,0.7497535498600598
32,TaiESM1,0.8806493867828586
33,UKESM1-0-LL,0.9193511042425719
